Summary,Description,Labels,Issue Type,Priority,OCPP Version,SUT Type,Test Case ID
Cold Boot Charge Point,Startup the Charge Point and let it register itself at the Central System. TC_001_CS tests BootNotification with Rejected then Accepted status.,ColdBoot,Task,Major,OCPP 1.6,CS,TC_001_CS
Cold Boot Charge Point - Pending,Delay the startup for a Charge Point. TC_002_CS tests GetConfiguration and ChangeConfiguration while in pending state.,ColdBoot,Task,Major,OCPP 1.6,CS,TC_002_CS
Regular Charging Session - Plugin First,Start a Charging session when first doing plugin cable. TC_003_CS tests StatusNotification(Preparing) then Authorize then StartTransaction.,StartSession,Task,Major,OCPP 1.6,CS,TC_003_CS
Regular Charging Session - Identification First,Start a Charging session when first doing authorization. TC_004_1_CS tests Authorize then plugin cable then StartTransaction.,StartSession,Task,Major,OCPP 1.6,CS,TC_004_1_CS
Regular Charging Session - Identification First - ConnectionTimeOut,Make a connector available when connectionTimeOut is reached. TC_004_2_CS tests connector returns to Available after timeout.,StartSession,Task,Major,OCPP 1.6,CS,TC_004_2_CS
EV Side Disconnected - StopTxnOnEVSideDisconnect=true - UnlockConnectorOnEVSideDisconnect=true,Stop transaction when cable disconnected at EV side with both configs true. TC_005_1_CS tests reason EVDisconnected and status transitions.,StopSession,Task,Major,OCPP 1.6,CS,TC_005_1_CS
EV Side Disconnected - StopTxnOnEVSideDisconnect=true - UnlockConnectorOnEVSideDisconnect=false,Stop transaction when cable disconnected at EV side. TC_005_2_CS tests StopTransaction and UnlockConnector behavior.,StopSession,Task,Major,OCPP 1.6,CS,TC_005_2_CS
EV Side Disconnected - StopTxnOnEVSideDisconnect=false - UnlockConnectorOnEVSideDisconnect=false,Keep transaction active when cable disconnected at EV side. TC_005_3_CS tests SuspendedEV/SuspendedEVSE status.,StopSession,Task,Major,OCPP 1.6,CS,TC_005_3_CS
Regular Start Charging Session - Cached Id,Start a transaction with an id stored in the Authorization cache. TC_007_1_CS tests cache-based authorization with plugin first.,Cache,Task,Major,OCPP 1.6,CS,TC_007_1_CS
Remote Start Charging Session - Cached Id,Start a transaction with an id stored in the Authorization cache via remote start. TC_007_2_CS tests RemoteStartTransaction with cached id.,Cache,Task,Major,OCPP 1.6,CS,TC_007_2_CS
Local Auth List - Regular Start,Authorize a transaction using the Local Authorization List with regular start. TC_008_1_CS tests SendLocalList then Authorize then StartTransaction.,LocalAuthList,Task,Major,OCPP 1.6,CS,TC_008_1_CS
Local Auth List - Remote Start,Authorize a transaction using the Local Authorization List with remote start. TC_008_2_CS tests SendLocalList then RemoteStartTransaction.,LocalAuthList,Task,Major,OCPP 1.6,CS,TC_008_2_CS
Remote Start - Cable Plugged First,Remote start transaction with cable plugged in first. TC_010_CS tests GetConfiguration(AuthorizeRemoteTxRequests) then RemoteStartTransaction.,RemoteActions,Task,Major,OCPP 1.6,CS,TC_010_CS
Remote Start - Remote Start First,Remote start transaction with remote start first. TC_011_1_CS tests RemoteStartTransaction then Authorize then plugin cable.,RemoteActions,Task,Major,OCPP 1.6,CS,TC_011_1_CS
Remote Start - Time Out,Remote start transaction timeout. TC_011_2_CS tests connector returns to Available after connectionTimeout.,RemoteActions,Task,Major,OCPP 1.6,CS,TC_011_2_CS
Remote Stop Charging Session,Remotely stop a transaction. TC_012_CS tests RemoteStopTransaction with reason Remote.,RemoteActions,Task,Major,OCPP 1.6,CS,TC_012_CS
Hard Reset Without Transaction,Hard reset a Charge Point while no transaction is active. TC_013_CS tests ChangeAvailability(Inoperative) then Reset(Hard) then BootNotification.,Resetting,Task,Major,OCPP 1.6,CS,TC_013_CS
Soft Reset Without Transaction,Soft reset a Charge Point while no transaction is active. TC_014_CS tests ChangeAvailability(Inoperative) then Reset(Soft).,Resetting,Task,Major,OCPP 1.6,CS,TC_014_CS
Hard Reset With Transaction,Hard reset a Charge Point while a transaction is active. TC_015_CS tests Reset(Hard) with StopTransaction(reason=HardReset).,Resetting,Task,Major,OCPP 1.6,CS,TC_015_CS
Soft Reset With Transaction,Soft reset a Charge Point while a transaction is active. TC_016_CS tests Reset(Soft) with StopTransaction(reason=SoftReset).,Resetting,Task,Major,OCPP 1.6,CS,TC_016_CS
Unlock connector - No Session (Not fixed cable),Unlock connector with no charging session running on non-fixed cable. TC_017_1_CS tests UnlockConnector with status Unlocked.,Unlocking,Task,Major,OCPP 1.6,CS,TC_017_1_CS
Unlock connector - No Session (Fixed cable),Unlock connector with no charging session running on fixed cable. TC_017_2_CS tests UnlockConnector with status NotSupported.,Unlocking,Task,Major,OCPP 1.6,CS,TC_017_2_CS
Unlock Connector - With Session (Not fixed cable),Unlock connector while a transaction is ongoing on non-fixed cable. TC_018_1_CS tests UnlockConnector then StopTransaction(reason=UnlockCommand).,Unlocking,Task,Major,OCPP 1.6,CS,TC_018_1_CS
Unlock Connector - With Session (Fixed cable),Unlock connector while a transaction is ongoing on fixed cable. TC_018_2_CS tests UnlockConnector with status NotSupported.,Unlocking,Task,Major,OCPP 1.6,CS,TC_018_2_CS
Retrieve Configuration,Retrieve all available or specific configuration keys. TC_019_CS tests GetConfiguration with SupportedFeatureProfiles and empty key.,Configuration,Task,Major,OCPP 1.6,CS,TC_019_CS
Change/Set Configuration,Set the value of a configuration key. TC_021_CS tests ChangeConfiguration(MeterValueSampleInterval) then GetConfiguration to verify.,Configuration,Task,Major,OCPP 1.6,CS,TC_021_CS
Sampled Meter Values,Send different kinds of Sampled MeterValues with a certain interval. TC_070_CS tests MeterValues with Sample.Periodic context.,MeterValues,Task,Major,OCPP 1.6,CS,TC_070_CS
Clock-aligned Meter Values,Send different kinds of Clock-aligned MeterValues. TC_071_CS tests MeterValues with Sample.Clock context.,MeterValues,Task,Major,OCPP 1.6,CS,TC_071_CS
Start Local - Authorize Invalid,Inform Charge Point that EV Driver is not Authorized with local authorization. TC_023_4_CS tests Authorize(invalid) then StatusNotification(Preparing).,BasicActions,Task,Major,OCPP 1.6,CS,TC_023_4_CS
Start Remote - Authorize Invalid,Inform Charge Point that EV Driver is not Authorized with remote start. TC_023_5_CS tests RemoteStartTransaction then Authorize(invalid).,BasicActions,Task,Major,OCPP 1.6,CS,TC_023_5_CS
Start - Lock Failure,Report a connector lock failure. TC_024_CS tests ConnectorLockFailure with status Faulted.,BasicActions,Task,Major,OCPP 1.6,CS,TC_024_CS
Remote Start - Rejected,Reject a RemoteStartTransaction when transaction already ongoing. TC_026_CS tests RemoteStartTransaction with status Rejected.,RemoteActionsNonHappy,Task,Major,OCPP 1.6,CS,TC_026_CS
Remote Start - ConnectorId=0,Reject a RemoteStartTransaction on connectorId=0. TC_027_CS tests RemoteStartTransaction(connectorId=0).,RemoteActionsNonHappy,Task,Major,OCPP 1.6,CS,TC_027_CS
Remote Stop - Rejected,Reject a RemoteStopTransaction with unknown transactionId. TC_028_CS tests RemoteStopTransaction with status Rejected.,RemoteActionsNonHappy,Task,Major,OCPP 1.6,CS,TC_028_CS
Unlock - Unlock Failure,Report a connector lock failure on unlock. TC_030_CS tests UnlockConnector with status UnlockFailed.,UnlockingNonHappy,Task,Major,OCPP 1.6,CS,TC_030_CS
Unlock - Unknown Connector,Reject an UnlockConnector with unknown connectorId. TC_031_CS tests UnlockConnector with status NotSupported.,UnlockingNonHappy,Task,Major,OCPP 1.6,CS,TC_031_CS
Power Failure - Stop Before Down,Stop all transactions before going down when power failure occurs with backup power. TC_032_1_CS tests StopTransaction(reason=PowerLoss).,PowerFailure,Task,Major,OCPP 1.6,CS,TC_032_1_CS
Power Failure - Stop After Down,Stop all transactions after going down when power failure occurs without backup power. TC_032_2_CS tests BootNotification then StopTransaction.,PowerFailure,Task,Major,OCPP 1.6,CS,TC_032_2_CS
Power Failure - Unavailable Status,Persist the status of connectors when power failure occurs. TC_034_CS tests ChangeAvailability(Inoperative) then power cycle then verify Unavailable status.,PowerFailure,Task,Major,OCPP 1.6,CS,TC_034_CS
Connection Loss During Transaction,Cache meter values when connection loss occurred during a transaction. TC_036_CS tests MeterValues queueing during offline.,OfflineBehavior,Task,Major,OCPP 1.6,CS,TC_036_CS
Offline Start Transaction - Valid IdTag,Start a transaction while being offline with valid IdTag. TC_037_1_CS tests StartTransaction with accepted status after reconnection.,OfflineBehavior,Task,Major,OCPP 1.6,CS,TC_037_1_CS
Offline Start Transaction - Invalid IdTag - StopOnInvalid=false,Start a transaction while offline with invalid IdTag and StopTransactionOnInvalidId=false. TC_037_2_CS tests transaction continues.,OfflineBehavior,Task,Major,OCPP 1.6,CS,TC_037_2_CS
Offline Start Transaction - Invalid IdTag - StopOnInvalid=true,Start a transaction while offline with invalid IdTag and StopTransactionOnInvalidId=true. TC_037_3_CS tests StopTransaction(reason=DeAuthorized).,OfflineBehavior,Task,Major,OCPP 1.6,CS,TC_037_3_CS
Offline Stop Transaction,Stop a transaction while the Charge Point is offline. TC_038_CS tests StopTransaction(reason=Local) after reconnection.,OfflineBehavior,Task,Major,OCPP 1.6,CS,TC_038_CS
Offline Transaction,Start and stop a transaction while the Charge Point is offline. TC_039_CS tests full offline transaction lifecycle.,OfflineBehavior,Task,Major,OCPP 1.6,CS,TC_039_CS
Config Key - NotSupported,Reject an unknown configuration key. TC_040_1_CS tests ChangeConfiguration(key=Testing) with status NotSupported.,ConfigKeysNonHappy,Task,Major,OCPP 1.6,CS,TC_040_1_CS
Config Key - Invalid Value,Reject setting a configuration key with incorrect value. TC_040_2_CS tests ChangeConfiguration(MeterValueSampleInterval,-1) with status Rejected.,ConfigKeysNonHappy,Task,Major,OCPP 1.6,CS,TC_040_2_CS
Fault Behavior,Refuse starting a transaction when Charge Point is in fault state. TC_041_CS tests StatusNotification(Faulted) then verify no transaction starts.,FaultBehavior,Task,Major,OCPP 1.6,CS,TC_041_CS
Get Local List Version (Not Supported),Request local list version when not supported. TC_042_1_CS tests GetLocalListVersion with listVersion=-1 or CallError(NotSupported).,LocalAuthList,Task,Major,OCPP 1.6,CS,TC_042_1_CS
Get Local List Version (Empty),Request local list version when list is empty. TC_042_2_CS tests SendLocalList(Full,version=1) then GetLocalListVersion with version=0.,LocalAuthList,Task,Major,OCPP 1.6,CS,TC_042_2_CS
Send Local Authorization List,Send a local authorization list to a Charge Point. TC_043_CS tests SendLocalList with Full and Differential update types.,LocalAuthList,Task,Major,OCPP 1.6,CS,TC_043_CS
Send Local List - NotSupported,Refuse a sent Local Authorization List when not supported. TC_043_1_CS tests SendLocalList with status NotSupported.,LocalAuthList,Task,Major,OCPP 1.6,CS,TC_043_1_CS
Send Local List - VersionMismatch,Refuse a sent Local Authorization List with old version. TC_043_2_CS tests SendLocalList with status VersionMismatch.,LocalAuthList,Task,Major,OCPP 1.6,CS,TC_043_2_CS
Send Local List - Failed,Refuse a sent Local Authorization List due to failure. TC_043_3_CS tests SendLocalList with status Failed.,LocalAuthList,Task,Major,OCPP 1.6,CS,TC_043_3_CS
Firmware Update - Download and Install,Update firmware of a Charge Point. TC_044_1_CS tests UpdateFirmware then FirmwareStatusNotification(Downloading/Downloaded/Installing/Installed).,FirmwareManagement,Task,Major,OCPP 1.6,CS,TC_044_1_CS
Firmware Update - Download Failed,Firmware download fails. TC_044_2_CS tests UpdateFirmware then FirmwareStatusNotification(DownloadFailed).,FirmwareManagement,Task,Major,OCPP 1.6,CS,TC_044_2_CS
Firmware Update - Installation Failed,Firmware installation fails. TC_044_3_CS tests UpdateFirmware then FirmwareStatusNotification(InstallationFailed).,FirmwareManagement,Task,Major,OCPP 1.6,CS,TC_044_3_CS
Get Diagnostics,Upload diagnostics log to specified location. TC_045_1_CS tests GetDiagnostics then DiagnosticsStatusNotification(Uploading/Uploaded).,Diagnostics,Task,Major,OCPP 1.6,CS,TC_045_1_CS
Get Diagnostics - Upload Failed,Diagnostics upload fails. TC_045_2_CS tests GetDiagnostics then DiagnosticsStatusNotification(UploadFailed).,Diagnostics,Task,Major,OCPP 1.6,CS,TC_045_2_CS
Reserve Connector - Local Start,Reserve a connector and start a local transaction. TC_046_1_CS tests ReserveNow then Authorize then StartTransaction with reservationId.,Reservation,Task,Major,OCPP 1.6,CS,TC_046_1_CS
Reserve Connector - Remote Start,Reserve a connector and start a remote transaction. TC_046_2_CS tests ReserveNow then RemoteStartTransaction.,Reservation,Task,Major,OCPP 1.6,CS,TC_046_2_CS
Reserve Connector - Expire,Reserve a connector and let reservation expire. TC_047_CS tests ReserveNow then wait for expiry then StatusNotification(Available).,Reservation,Task,Major,OCPP 1.6,CS,TC_047_CS
Reserve Connector - Faulted,Reserve a connector that is in Faulted state. TC_048_1_CS tests ReserveNow with status Faulted.,Reservation,Task,Major,OCPP 1.6,CS,TC_048_1_CS
Reserve Connector - Occupied,Reserve a connector that is Occupied. TC_048_2_CS tests ReserveNow with status Occupied.,Reservation,Task,Major,OCPP 1.6,CS,TC_048_2_CS
Reserve Connector - Unavailable,Reserve a connector that is Unavailable. TC_048_3_CS tests ReserveNow with status Unavailable.,Reservation,Task,Major,OCPP 1.6,CS,TC_048_3_CS
Reserve Connector - Rejected,Reserve a connector when Reservation not supported. TC_048_4_CS tests ReserveNow with status Rejected.,Reservation,Task,Major,OCPP 1.6,CS,TC_048_4_CS
Reserve ChargePoint - Transaction,Reserve an unspecified connector (connectorId=0) and start transaction. TC_049_CS tests ReserveNow(connectorId=0).,Reservation,Task,Major,OCPP 1.6,CS,TC_049_CS
Reserve ChargePoint - Faulted,Reserve an unspecified connector when ChargePoint is Faulted. TC_050_1_CS tests ReserveNow(connectorId=0) with status Faulted.,Reservation,Task,Major,OCPP 1.6,CS,TC_050_1_CS
Reserve ChargePoint - Occupied,Reserve an unspecified connector when all connectors are Occupied. TC_050_2_CS tests ReserveNow(connectorId=0) with status Occupied.,Reservation,Task,Major,OCPP 1.6,CS,TC_050_2_CS
Reserve ChargePoint - Unavailable,Reserve an unspecified connector when ChargePoint is Unavailable. TC_050_3_CS tests ReserveNow(connectorId=0) with status Unavailable.,Reservation,Task,Major,OCPP 1.6,CS,TC_050_3_CS
Reserve ChargePoint - Rejected,Reserve an unspecified connector when Reservation not supported. TC_050_4_CS tests ReserveNow(connectorId=0) with status Rejected.,Reservation,Task,Major,OCPP 1.6,CS,TC_050_4_CS
Cancel Reservation,Cancel an existing not expired reservation. TC_051_CS tests CancelReservation then verify connector Available.,Reservation,Task,Major,OCPP 1.6,CS,TC_051_CS
Cancel Reservation - Rejected,Cancel reservation with unknown reservationId. TC_052_CS tests CancelReservation with status Rejected.,Reservation,Task,Major,OCPP 1.6,CS,TC_052_CS
Reserved - parentIdTag Local,Use a reserved connector with parentIdTag via local start. TC_053_1_CS tests ReserveNow(parentIdTag) then Authorize then StartTransaction.,Reservation,Task,Major,OCPP 1.6,CS,TC_053_1_CS
Reserved - parentIdTag Remote,Use a reserved connector with parentIdTag via remote start. TC_053_2_CS tests ReserveNow(parentIdTag) then RemoteStartTransaction.,Reservation,Task,Major,OCPP 1.6,CS,TC_053_2_CS
Trigger Message,Trigger various messages from the Charge Point. TC_054_CS tests TriggerMessage for MeterValues/Heartbeat/StatusNotification/DiagnosticsStatusNotification.,RemoteTrigger,Task,Major,OCPP 1.6,CS,TC_054_CS
Trigger Message - Rejected,Trigger a message that is rejected. TC_055_CS tests TriggerMessage(connectorId=NumberOfConnectors+1) with status Rejected.,RemoteTrigger,Task,Major,OCPP 1.6,CS,TC_055_CS
Smart Charging - TxDefaultProfile,Set a default schedule for new transactions. TC_056_CS tests SetChargingProfile(TxDefaultProfile) then GetCompositeSchedule.,SmartCharging,Task,Major,OCPP 1.6,CS,TC_056_CS
Smart Charging - TxProfile,Set a schedule for a running transaction. TC_057_CS tests SetChargingProfile(TxProfile) then GetCompositeSchedule.,SmartCharging,Task,Major,OCPP 1.6,CS,TC_057_CS
Smart Charging - No Transaction,Reject a schedule with wrong ChargingProfilePurpose when no transaction running. TC_058_1_CS tests SetChargingProfile(TxProfile) with status Rejected.,SmartCharging,Task,Major,OCPP 1.6,CS,TC_058_1_CS
Smart Charging - Wrong TransactionId,Reject a schedule with wrong transactionId. TC_058_2_CS tests SetChargingProfile with wrong transactionId and status Rejected.,SmartCharging,Task,Major,OCPP 1.6,CS,TC_058_2_CS
Remote Start with ChargingProfile,Start a transaction with a ChargingProfile from Central System. TC_059_CS tests RemoteStartTransaction with TxProfile then GetCompositeSchedule.,SmartCharging,Task,Major,OCPP 1.6,CS,TC_059_CS
Remote Start with ChargingProfile - Rejected,Reject a remote start with wrong ChargingProfilePurpose. TC_060_CS tests RemoteStartTransaction with non-TxProfile purpose.,SmartCharging,Task,Major,OCPP 1.6,CS,TC_060_CS
Clear Cache - Local,Clear Authorization Cache via local action. TC_061_1_CS tests ClearCache then verify authorization cache is cleared.,Cache,Task,Major,OCPP 1.6,CS,TC_061_1_CS
Clear Cache - Remote,Clear Authorization Cache via remote action. TC_061_2_CS tests ClearCache then execute Charging state.,Cache,Task,Major,OCPP 1.6,CS,TC_061_2_CS
Data Transfer to Charge Point,Send a vendor specific message to a Charge Point. TC_062_CS tests DataTransfer with unknown vendorId.,DataTransfer,Task,Major,OCPP 1.6,CS,TC_062_CS
Get Composite Schedule,Send 3 ChargingProfiles and request composite schedule. TC_066_CS tests GetCompositeSchedule with multiple stacked profiles.,SmartCharging,Task,Major,OCPP 1.6,CS,TC_066_CS
Clear Charging Profile,Set and clear charging profiles. TC_067_CS tests ClearChargingProfile by ID/purpose/all then GetCompositeSchedule.,SmartCharging,Task,Major,OCPP 1.6,CS,TC_067_CS
Stop Transaction - Same IdTag,Stop transaction with same idTag used to start. TC_068_CS tests StopTransaction when idTag matches StartTransaction idTag.,StopSession,Task,Major,OCPP 1.6,CS,TC_068_CS
Stop Transaction - Same ParentIdTag,Stop transaction with same ParentIdTag. TC_069_CS tests Authorize(different idTag with same parentIdTag) then StopTransaction.,StopSession,Task,Major,OCPP 1.6,CS,TC_069_CS
Stacking Charging Profiles,Stack multiple ChargingProfiles and verify composite schedule. TC_072_CS tests two TxDefaultProfiles at different stack levels.,SmartCharging,Task,Major,OCPP 1.6,CS,TC_072_CS
Update BasicAuth Password,Configure a new password for HTTP Basic Authentication. TC_073_CS tests ChangeConfiguration(AuthorizationKey) then reconnect with new password.,Security,Task,Major,OCPP 1.6,CS,TC_073_CS
Update ChargePoint Certificate,Renew ChargePointCertificate by request of Central System. TC_074_CS tests ExtendedTriggerMessage(SignChargePointCertificate) then CertificateSigned.,Security,Task,Major,OCPP 1.6,CS,TC_074_CS
Install ManufacturerRootCertificate,Install a new manufacturer root certificate. TC_075_1_CS tests InstallCertificate(ManufacturerRootCertificate) then GetInstalledCertificateIds.,Security,Task,Major,OCPP 1.6,CS,TC_075_1_CS
Install CentralSystemRootCertificate,Install a new Central System root certificate. TC_075_2_CS tests InstallCertificate(CentralSystemRootCertificate) then GetInstalledCertificateIds.,Security,Task,Major,OCPP 1.6,CS,TC_075_2_CS
Delete Certificate,Delete an installed certificate. TC_076_CS tests GetInstalledCertificateIds then DeleteCertificate then verify removal.,Security,Task,Major,OCPP 1.6,CS,TC_076_CS
Invalid ChargePointCertificate,Notify Central System of invalid ChargePointCertificate. TC_077_CS tests ExtendedTriggerMessage then CertificateSigned(invalid) then SecurityEventNotification.,Security,Task,Major,OCPP 1.6,CS,TC_077_CS
Invalid CentralSystemCertificate,Notify Central System of invalid CentralSystemCertificate. TC_078_CS tests invalid server certificate then SecurityEventNotification.,Security,Task,Major,OCPP 1.6,CS,TC_078_CS
Get Security Log,Upload security log to specified location. TC_079_CS tests GetLog(SecurityLog) then LogStatusNotification(Uploading/Uploaded).,Security,Task,Major,OCPP 1.6,CS,TC_079_CS
Secure Firmware Update,Update firmware in a secure way. TC_080_CS tests SignedUpdateFirmware then SignedFirmwareStatusNotification sequence.,Security,Task,Major,OCPP 1.6,CS,TC_080_CS
Secure Firmware Update - Invalid Signature,Validate firmware signature and reject if invalid. TC_081_CS tests SignedUpdateFirmware(invalid signature) then SecurityEventNotification.,Security,Task,Major,OCPP 1.6,CS,TC_081_CS
Smart Charging - TxDefault Ongoing Tx,Set a default schedule for currently ongoing transaction. TC_082_CS tests SetChargingProfile(TxDefaultProfile) during active transaction.,SmartCharging,Task,Major,OCPP 1.6,CS,TC_082_CS
Upgrade Security Profile,Upgrade connection using higher Security Profile. TC_083_CS tests ChangeConfiguration(SecurityProfile) then Reset(Hard) then reconnect.,Security,Task,Major,OCPP 1.6,CS,TC_083_CS
Downgrade Security Profile - Rejected,Reject downgrading to lower Security Profile. TC_084_CS tests ChangeConfiguration(SecurityProfile) with lower value and status Rejected.,Security,Task,Major,OCPP 1.6,CS,TC_084_CS
Basic Authentication,Authenticate using Basic Authentication. TC_085_CS tests HTTP upgrade with Authorization header.,Security,Task,Major,OCPP 1.6,CS,TC_085_CS
TLS - Server Certificate,Setup secured WebSocket with server-side certificate. TC_086_CS tests TLS handshake with valid server certificate.,Security,Task,Major,OCPP 1.6,CS,TC_086_CS
TLS - Client Certificate,Setup secured WebSocket with client-side certificate. TC_087_CS tests TLS handshake with valid client certificate.,Security,Task,Major,OCPP 1.6,CS,TC_087_CS
Maintenance - Restore Configuration,Restore OCTT configuration to default values. Built-in maintenance task.,MAINTENANCE,Task,Minor,OCPP 1.6,CS,tc_bi_restore_configuration
Maintenance - Stop All Transactions,Stop all active transactions on the SUT. Built-in maintenance task.,MAINTENANCE,Task,Minor,OCPP 1.6,CS,tc_bi_stop_transactions
Maintenance - Clear Cache,Clear the authorization cache on the SUT. Built-in maintenance task.,MAINTENANCE,Task,Minor,OCPP 1.6,CS,tc_bi_clear_cache
Maintenance - Clear Local Auth List,Clear the local authorization list on the SUT. Built-in maintenance task.,MAINTENANCE,Task,Minor,OCPP 1.6,CS,tc_bi_clear_local_auth_list
Maintenance - Restore Availability,Restore all connectors to Available state. Built-in maintenance task.,MAINTENANCE,Task,Minor,OCPP 1.6,CS,tc_bi_restore_availability
Maintenance - Hard Reset,Perform a hard reset on the SUT. Built-in maintenance task.,MAINTENANCE,Task,Minor,OCPP 1.6,CS,tc_bi_reset_hard
